player_id,clean_sheet,goals_conceded,saves,penalty_save,punches,total_high_claim,total_keeper_sweeper,keeper_throws,goal_kicks
30984,13.0,45.0,98.0,1.0,7.0,42.0,17.0,145.0,250.0
133131,12.0,11.0,48.0,0.0,3.0,6.0,12.0,104.0,132.0
131750,11.0,34.0,81.0,2.0,5.0,16.0,2.0,111.0,245.0
160755,11.0,25.0,81.0,1.0,11.0,16.0,5.0,90.0,216.0
44029,11.0,26.0,55.0,0.0,7.0,11.0,14.0,136.0,106.0
11230,11.0,31.0,85.0,2.0,5.0,13.0,8.0,141.0,208.0
6011,10.0,31.0,81.0,0.0,8.0,6.0,3.0,132.0,220.0
129737,10.0,43.0,119.0,0.0,17.0,16.0,8.0,94.0,304.0
129756,10.0,29.0,92.0,0.0,21.0,18.0,9.0,135.0,234.0
130759,9.0,49.0,97.0,0.0,9.0,23.0,18.0,97.0,256.0
46085,8.0,47.0,81.0,0.0,10.0,20.0,8.0,156.0,223.0
129845,7.0,39.0,113.0,1.0,17.0,17.0,15.0,185.0,253.0
46676,7.0,44.0,102.0,0.0,7.0,17.0,7.0,219.0,221.0
135192,6.0,37.0,47.0,0.0,4.0,17.0,10.0,125.0,175.0
133649,5.0,53.0,110.0,2.0,18.0,27.0,9.0,170.0,251.0
90844,5.0,30.0,62.0,1.0,8.0,21.0,4.0,55.0,135.0
129917,4.0,28.0,57.0,1.0,12.0,9.0,4.0,72.0,142.0
160772,4.0,35.0,68.0,0.0,6.0,11.0,7.0,99.0,195.0
144514,4.0,51.0,107.0,0.0,15.0,16.0,12.0,167.0,252.0
25178,3.0,15.0,59.0,1.0,7.0,8.0,0.0,68.0,97.0
52304,2.0,26.0,59.0,1.0,3.0,7.0,9.0,63.0,142.0
161449,2.0,25.0,30.0,0.0,2.0,4.0,6.0,27.0,77.0
160081,2.0,6.0,15.0,0.0,1.0,1.0,0.0,12.0,44.0
153068,2.0,2.0,8.0,0.0,0.0,3.0,0.0,11.0,19.0
161346,2.0,10.0,18.0,0.0,4.0,7.0,9.0,51.0,70.0
32539,1.0,7.0,8.0,0.0,2.0,1.0,0.0,17.0,28.0
135178,1.0,12.0,15.0,0.0,1.0,4.0,0.0,29.0,53.0
179279,0.0,17.0,36.0,0.0,8.0,0.0,2.0,26.0,41.0
175685,0.0,13.0,23.0,1.0,2.0,3.0,5.0,33.0,41.0
21222,0.0,8.0,16.0,0.0,2.0,0.0,1.0,7.0,39.0
47176,0.0,7.0,9.0,0.0,1.0,1.0,2.0,13.0,22.0
31037,0.0,6.0,7.0,1.0,2.0,0.0,1.0,11.0,14.0
32165,0.0,6.0,5.0,0.0,0.0,0.0,0.0,4.0,11.0
132466,0.0,5.0,6.0,0.0,0.0,0.0,1.0,4.0,14.0
136298,0.0,3.0,2.0,0.0,0.0,0.0,0.0,5.0,7.0
160300,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,3.0
135709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
